Task,Model,Version,Prompt,Itr1,Itr2,Itr3,Itr4,Itr5,Itr6,Itr7,Itr8,Itr9,Itr10
generative_5,gpt-4.1,n/a,zero,1.75,2.51,2.09,1.85,1.71,1.5,1.72,1.54,1.56,1.79
generative_5,gpt-4.1,n/a,one,1.92,1.56,1.49,1.67,1.66,1.97,1.72,1.73,1.9,1.75
generative_1,gpt-4o,n/a,zero,2.59,3.26,2.12,0.8,1.63,1.86,1.4,1.18,1.88,0.88
generative_1,gpt-4o,n/a,one,3.53,0.9,1.12,2.63,1.29,1.67,1.33,1.27,0.89,1.12
generative_2,gpt-4o,n/a,zero,1.19,1.21,1.26,1.14,1.13,1.44,0.94,0.93,1.3,1.08
generative_2,gpt-4o,n/a,one,3.26,1.93,2.1,2.1,1.87,1.53,1.37,1.7,1.92,1.9
generative_3,gpt-4o,n/a,zero,1.16,2.42,1.16,2.05,1.33,1.17,1.27,1.67,1.22,1.33
generative_3,gpt-4o,n/a,one,2.3,3.28,2.36,2.08,2.2,2.48,1.82,1.98,1.73,1.8
generative_4,gpt-4o,n/a,zero,1.86,2.25,1.9,1.94,4.12,2.7,1.66,2.01,2.28,2.36
generative_4,gpt-4o,n/a,one,2.35,2.0,2.25,2.45,2.33,2.53,2.48,2.61,2.52,2.07
generative_5,gpt-4o,n/a,zero,2.33,1.99,1.95,1.96,2.17,2.2,1.73,1.51,2.26,1.21
generative_5,gpt-4o,n/a,one,3.69,3.15,2.35,2.2,2.36,2.0,2.12,2.07,2.75,2.37
generative_1,gpt-5,n/a,zero,12.14,12.79,8.91,11.73,15.2,16.0,11.35,10.17,15.05,12.25
generative_1,gpt-5,n/a,one,7.87,7.93,8.57,8.19,6.79,6.21,9.57,9.1,9.22,7.65
generative_2,gpt-5,n/a,zero,8.97,10.05,12.26,10.56,14.42,11.45,13.5,11.27,10.45,14.87
generative_2,gpt-5,n/a,one,12.09,5.97,7.3,6.98,5.27,10.71,11.08,7.12,7.12,7.87
generative_3,gpt-5,n/a,zero,20.11,13.22,24.74,13.12,14.86,20.71,11.97,13.45,16.13,13.89
generative_3,gpt-5,n/a,one,5.9,14.07,12.57,4.77,12.32,7.6,5.05,8.31,7.87,14.03
generative_4,gpt-5,n/a,zero,8.58,31.09,15.43,14.57,11.37,13.07,13.09,10.32,29.25,11.43
generative_4,gpt-5,n/a,one,9.23,7.39,9.37,9.38,16.48,10.17,6.57,6.71,7.31,17.39
generative_5,gpt-5,n/a,zero,19.79,22.84,13.36,14.52,24.11,12.34,15.37,23.68,29.02,21.5
generative_5,gpt-5,n/a,one,13.92,9.22,9.58,16.16,24.15,14.39,9.67,9.62,10.09,10.9
