Task,Model,Version,Prompt,Itr1,Itr2,Itr3,Itr4,Itr5,Itr6,Itr7,Itr8,Itr9,Itr10
generative_5,gpt-4.1,n/a,zero,3.17,4.64,2.77,3.98,2.87,2.71,3.18,3.68,2.98,3.8
generative_5,gpt-4.1,n/a,one,3.25,2.74,2.58,3.38,2.81,2.77,2.66,3.48,2.65,3.47
generative_1,gpt-4o,n/a,zero,1.34,1.23,1.53,1.17,1.02,0.92,1.17,1.02,1.04,0.93
generative_1,gpt-4o,n/a,one,1.53,1.1,1.08,1.13,1.32,1.16,1.64,1.4,1.09,1.07
generative_2,gpt-4o,n/a,zero,2.01,1.84,1.94,3.82,2.4,1.83,1.96,2.22,2.44,1.95
generative_2,gpt-4o,n/a,one,2.36,2.04,1.94,2.02,2.11,2.0,2.05,2.1,1.94,2.04
generative_3,gpt-4o,n/a,zero,2.67,2.66,3.28,2.45,2.45,2.35,2.4,2.45,2.67,2.16
generative_3,gpt-4o,n/a,one,2.46,2.56,2.67,2.26,2.37,2.52,2.56,2.26,2.45,2.24
generative_4,gpt-4o,n/a,zero,2.98,2.96,2.87,3.07,2.87,3.75,3.28,2.88,2.79,2.75
generative_4,gpt-4o,n/a,one,2.76,2.98,3.07,3.18,2.76,3.32,2.96,3.16,3.05,3.99
generative_5,gpt-4o,n/a,zero,4.17,3.75,4.81,4.18,3.67,4.81,4.42,3.9,3.26,5.53
generative_5,gpt-4o,n/a,one,3.43,3.8,3.44,4.21,3.69,3.49,3.67,3.88,3.7,3.68
generative_1,gpt-5,n/a,zero,10.69,9.55,10.53,9.63,8.51,11.88,11.47,11.85,13.62,15.04
generative_1,gpt-5,n/a,one,12.08,10.34,7.17,11.37,8.87,7.26,10.99,14.02,9.73,16.4
generative_2,gpt-5,n/a,zero,15.97,12.61,16.24,12.19,23.72,14.02,10.56,19.29,11.06,9.06
generative_2,gpt-5,n/a,one,7.68,9.55,8.6,12.22,9.42,13.31,9.82,14.51,11.0,8.82
generative_3,gpt-5,n/a,zero,35.6,38.19,31.24,18.73,20.28,12.68,18.52,20.95,21.33,17.5
generative_3,gpt-5,n/a,one,12.7,13.93,14.02,10.34,18.76,19.26,24.38,27.38,15.8,11.72
generative_4,gpt-5,n/a,zero,21.06,30.25,18.85,14.03,17.59,20.48,23.66,22.62,45.88,21.99
generative_4,gpt-5,n/a,one,11.95,17.0,14.03,12.12,46.68,19.55,23.76,31.03,15.89,20.18
generative_5,gpt-5,n/a,zero,20.87,29.58,22.21,19.25,26.72,37.9,23.65,19.41,29.71,38.91
generative_5,gpt-5,n/a,one,38.14,11.55,17.41,15.98,12.28,14.54,16.34,40.35,24.05,23.45
